County,Highest Pollutant,Highest Pollutant Value
Monroe C,O3,10719.86
Montgome,O3,16146.87
Moore Co,O3,1253.58
Morgan C,O3,24559.07
Obion Co,O3,6948.02
Overton,O3,8335.11
Perry Co,O3,20406.51
Pickett,O3,8174.94
Polk Cou,O3,7423.1
Putnam C,O3,5912.08
Rhea Cou,O3,10284.18
Roane Co,O3,42046.75
Robertso,O3,15368.78
Rutherfo,O3,3400.2
Scott Co,O3,13413.18
Sequatch,O3,4166.59
Sevier C,O3,7350.14
Shelby C,O3,2018.83
Smith Co,O3,6419.59
Stewart,O3,9672.04
Sullivan,O3,6775.19
Sumner C,O3,20262.28
Tipton C,O3,2003.12
Trousdal,O3,8216.26
Unicoi C,O3,6761.62
Union Co,O3,7807.65
Van Bure,O3,4791.09
Warren C,O3,3200.55
Washingt,O3,7151.57
Wayne Co,O3,20522.4
Weakley,O3,6804.23
White Co,O3,5402.49
Williams,O3,25417.9
Wilson C,O3,6976.07
Anderson,O3,4240.5
Andrews,O3,1383.22
Angelina,O3,3197.18
Aransas,O3,4404.48
Archer C,O3,2032.04
Atascosa,O3,4459.04
Austin C,O3,2394.57
Bandera,O3,2954.78
Bastrop,O3,4453.55
Baylor C,O3,1147.03
Bee Coun,O3,4979.8
Bell Cou,O3,3905.01
Bexar Co,O3,6153.41
Blanco C,O3,4900.28
Bosque C,O3,3463.9
Bowie Co,O3,2395.02
Brazoria,O3,6748.23
Brazos C,O3,2319.86
Brewster,O3,2911.54
Brown Co,O3,1506.29
Burleson,O3,2573.88
Burnet C,O3,3987.33
Caldwell,O3,5378.02
Calhoun,O3,3306.27
Callahan,O3,1260.25
Cameron,O3,5263.25
Carson C,O3,1075.12
Cass Cou,O3,4438.83
Castro C,O3,1245.9
Chambers,O3,6350.87
Cherokee,O3,4230.5
Childres,O3,678.9
Clay Cou,O3,3767.89
Coke Cou,O3,1614.28
Coleman,O3,1248.37
Collin C,O3,5959.66
Colorado,O3,2973.01
Comal Co,O3,6150.36
Comanche,O3,2008.89
Concho C,O3,1006.64
Cooke Co,O3,5935.88
Coryell,O3,3021.89
Crosby C,O3,820.3
Dallam C,O3,816.15
Dallas C,O3,6285.58
Dawson C,O3,1796.48
Deaf Smi,O3,1442.16
Denton C,O3,6326.04
DeWitt C,O3,4608.37
Dimmit C,O3,3148.78
Donley C,O3,1047.1
Duval Co,O3,4069.42
Eastland,O3,1703.86
Ector Co,O3,1568.44
Ellis Co,O3,5535.41
El Paso,O3,5565.08
Erath Co,O3,2823.03
Falls Co,O3,3566.86
Fannin C,O3,4656.5
Fayette,O3,3625.69
Fisher C,O3,736.0
Floyd Co,O3,794.89
Fort Ben,O3,3909.09
Freeston,O3,3828.62
Frio Cou,O3,3200.17
Gaines C,O3,856.8
Galvesto,O3,6327.73
Garza Co,O3,1436.23
Gillespi,O3,2953.91
Goliad C,O3,4778.97
Gonzales,O3,4640.68
Gray Cou,O3,765.94
Grayson,O3,5711.5
Gregg Co,O3,6150.14
Grimes C,O3,1910.94
Guadalup,O3,5814.4
Hale Cou,O3,1123.54
Hall Cou,O3,768.41
Hamilton,O3,2587.41
Hardin C,O3,3899.18
Harris C,O3,6606.26
Harrison,O3,8110.72
Haskell,O3,789.12
Hays Cou,O3,6844.72
Henderso,O3,4925.97
Hidalgo,O3,5959.04
Hill Cou,O3,4205.62
Hockley,O3,1525.31
Hood Cou,O3,5772.24
Houston,O3,3110.82
Howard C,O3,1484.24
Hunt Cou,O3,6459.72
Hutchins,O3,1389.34
Jack Cou,O3,3704.79
Jackson,O3,3346.55
Jasper C,O3,1985.93
Jefferso,O3,6088.62
Jim Well,O3,4509.94
Johnson,O3,6232.57
Jones Co,O3,853.14
Karnes C,O3,4962.73
Kaufman,O3,10058.89
Kendall,O3,4373.69
Kerr Cou,O3,2359.94
Kimble C,O3,2014.18
Kleberg,O3,4654.6
Knox Cou,O3,815.53
Lamar Co,O3,4036.87
Lamb Cou,O3,1161.53
Lampasas,O3,2680.0
Lavaca C,O3,4198.86
Lee Coun,O3,3229.44
Leon Cou,O3,2794.36
Liberty,O3,6023.75
Limeston,O3,3948.84
Live Oak,O3,4506.0
Llano Co,O3,2685.06
Lubbock,O3,1269.65
Lynn Cou,O3,1700.8
McCulloc,O3,1250.16
McLennan,O3,2945.66
Madison,O3,2737.04
Marion C,O3,9300.71
Matagord,O3,2923.03
Medina C,O3,3422.38
Midland,O3,1817.95
Milam Co,O3,4017.24
Mitchell,O3,1615.71
Montague,O3,5130.41
Montgome,O3,10058.17
Moore Co,O3,1391.8
Nacogdoc,O3,3593.83
Navarro,O3,3843.39
Newton C,O3,2642.39
Nolan Co,O3,756.08
Nueces C,O3,5565.92
Orange C,O3,6512.72
Palo Pin,O3,2938.08
Panola C,O3,5021.7
Parker C,O3,6929.61
Pecos Co,O3,1709.77
Polk Cou,O3,1825.64
Potter C,O3,1477.0
Randall,O3,1264.63
Real Cou,O3,2582.31
Red Rive,O3,2912.79
Reeves C,O3,1246.7
Refugio,O3,4731.15
Robertso,O3,3468.31
Rockwall,O3,8774.14
Runnels,O3,980.19
Rusk Cou,O3,5120.12
Sabine C,O3,2892.05
San Augu,O3,3170.01
San Jaci,O3,2890.6
San Patr,O3,5780.14
San Saba,O3,1837.06
Scurry C,O3,1194.31
Shelby C,O3,3586.58
Somervel,O3,4372.38
Starr Co,O3,3531.78
Stephens,O3,1342.88
Swisher,O3,1337.23
Tarrant,O3,5696.59
Taylor C,O3,978.33
Terry Co,O3,1529.39
Tom Gree,O3,1362.34
Travis C,O3,7840.5
Trinity,O3,2851.86
Tyler Co,O3,1922.62
Uvalde C,O3,2970.62
Val Verd,O3,2210.12
Van Zand,O3,6501.56
Victoria,O3,5320.68
Walker C,O3,2005.1
Waller C,O3,3123.05
Ward Cou,O3,1443.27
Washingt,O3,2373.7
Webb Cou,O3,4852.05
Wharton,O3,3068.62
Wheeler,O3,1063.46
Wichita,O3,2275.39
Wilbarge,O3,1321.53
Willacy,O3,4783.96
Williams,O3,6188.64
Wilson C,O3,5460.8
Winkler,O3,911.31
Wise Cou,O3,5697.57
Yoakum C,O3,665.91
Young Co,O3,1832.81
Zapata C,O3,3659.18
Box Elde,O3,4178.79
Cache Co,O3,11036.14
Carbon C,O3,3019.12
Davis Co,O3,12943.35
Duchesne,O3,3244.74
Grand Co,O3,2836.95
Iron Cou,O3,991.88
Juab Cou,O3,3398.99
Kane Cou,O3,677.76
Millard,O3,2253.81
Salt Lak,O3,13000.5
Sanpete,O3,3573.21
Sevier C,O3,2277.97
Summit C,O3,5225.59
Tooele C,O3,4202.69
Uintah C,O3,2030.27
Utah Cou,O3,11904.08
Wasatch,O3,6227.95
Washingt,O3,1156.02
Weber Co,O3,13443.09
Addison,O3,6699.16
Benningt,O3,8432.73
Caledoni,O3,6248.96
Chittend,O3,7069.09
Essex Co,O3,6129.21
Franklin,O3,4573.66
Grand Is,O3,4309.62
Lamoille,O3,6172.24
Orange C,O3,7328.95
Orleans,O3,4654.74
Rutland,O3,7355.79
Washingt,O3,7032.78
Windham,O3,9603.84
Windsor,O3,7663.15
Accomack,O3,2945.13
Albemarl,O3,5483.29
Alleghan,O3,8867.97
Amelia C,O3,7268.93
Amherst,O3,7553.72
Appomatt,O3,6713.59
Arlingto,O3,8490.1
Augusta,O3,6964.64
Bath Cou,O3,8207.22
Bland Co,O3,8840.87
Botetour,O3,9218.17
Brunswic,O3,6314.91
Buchanan,O3,6367.1
Buckingh,O3,6375.75
Campbell,O3,6907.53
Caroline,O3,8411.21
Carroll,O3,7962.76
Charles,O3,8661.25
Charlott,O3,5683.34
Chesterf,O3,9274.73
Clarke C,O3,10934.86
Craig Co,O3,8714.38
Culpeper,O3,8320.05
Cumberla,O3,6646.62
Dickenso,O3,5908.83
Dinwiddi,O3,7699.42
Essex Co,O3,5701.27
Fairfax,O3,8387.85
Fauquier,O3,9824.93
Floyd Co,O3,8543.52
Fluvanna,O3,5749.07
Franklin,O3,8529.1
Frederic,O3,9198.05
Giles Co,O3,8625.45
Gloucest,O3,7144.37
Goochlan,O3,5861.68
Grayson,O3,8299.51
Greene C,O3,5923.91
Greensvi,O3,7246.01
Halifax,O3,6391.1
Hanover,O3,8279.06
Henrico,O3,9181.12
Henry Co,O3,8508.7
Isle of,O3,10768.65
James Ci,O3,8108.66
King and,O3,6993.69
King Geo,O3,8232.86
King Wil,O3,8068.09
Lancaste,O3,5442.6
Lee Coun,O3,6152.06
Loudoun,O3,9578.49
Louisa C,O3,5739.52
Lunenbur,O3,6170.71
Madison,O3,6385.85
Mathews,O3,6228.27
Mecklenb,O3,6250.42
Middlese,O3,5794.4
Montgome,O3,8691.96
Nelson C,O3,6626.26
New Kent,O3,8150.81
Northamp,O3,4087.37
Northumb,O3,5000.68
Nottoway,O3,6941.65
Orange C,O3,6649.75
Page Cou,O3,8628.98
Patrick,O3,9904.72
Pittsylv,O3,6581.81
Powhatan,O3,6395.99
Prince E,O3,6545.34
Prince G,O3,8884.35
Prince W,O3,9041.38
Pulaski,O3,8466.57
Rappahan,O3,8680.45
Richmond,O3,5682.0
Roanoke,O3,9205.23
Rockbrid,O3,8577.6
Rockingh,O3,6681.25
Russell,O3,6367.92
Scott Co,O3,6722.17
Shenando,O3,7874.79
Smyth Co,O3,8064.04
Southamp,O3,8567.48
Spotsylv,O3,8403.71
Stafford,O3,9766.49
Surry Co,O3,9061.83
Sussex C,O3,8357.46
Tazewell,O3,7942.2
Warren C,O3,9549.43
Washingt,O3,6824.44
Westmore,O3,5106.42
Wise Cou,O3,6106.2
Wythe Co,O3,9068.68
York Cou,O3,8594.26
Alexandr,O3,10222.11
Bristol,O3,6444.95
Buena Vi,O3,8354.72
Charlott,O3,5515.99
Chesapea,O3,9930.82
Colonial,O3,9109.22
Covingto,O3,8807.26
Danville,O3,6841.56
Emporia,O3,7325.49
Fairfax,O3,8007.94
Falls Ch,O3,8769.62
Franklin,O3,9270.99
Frederic,O3,9447.57
Galax ci,O3,7861.94
Hampton,O3,11250.41
Harrison,O3,6457.64
Hopewell,O3,9236.16
Lexingto,O3,8725.15
Lynchbur,O3,7520.89
Manassas,O3,8671.83
Martinsv,O3,8393.17
Newport,O3,10497.33
Norfolk,SO2,12180.53083
Norton c,O3,6203.64
Petersbu,O3,8873.32
Poquoson,O3,9511.82
Portsmou,O3,16470.45
Radford,O3,8531.17
Richmond,O3,9021.44
Roanoke,O3,9573.33
Salem ci,O3,9249.15
Staunton,O3,6876.72
Suffolk,O3,11060.35
Virginia,CO,7698.928662
Waynesbo,O3,6789.88
Williams,O3,8364.45
Winchest,O3,11174.69
Adams Co,O3,4486.48
Asotin C,O3,4368.8
Benton C,O3,3604.04
Chelan C,O3,4241.0
Clallam,O3,2933.29
Clark Co,O3,11633.73
Columbia,O3,4430.0
Cowlitz,O3,9582.28
Douglas,O3,3603.91
Ferry Co,O3,3568.44
Franklin,O3,3868.78
Grant Co,O3,3787.85
Grays Ha,O3,3588.49
Island C,O3,8179.09
Jefferso,O3,4421.16
King Cou,O3,13011.96
Kitsap C,O3,10202.83
Kittitas,O3,4877.43
Klickita,O3,7430.93
Lewis Co,O3,9508.18
Lincoln,O3,5438.49
Mason Co,O3,6608.94
Okanogan,O3,2864.63
Pacific,O3,3979.09
Pend Ore,O3,4656.09
Pierce C,O3,11096.86
San Juan,O3,6249.24
Skagit C,O3,6419.74
Skamania,O3,8630.26
Snohomis,O3,7603.26
Spokane,O3,12366.96
Stevens,O3,4757.03
Thurston,O3,9852.49
Wahkiaku,O3,5198.03
Walla Wa,O3,3854.73
Whatcom,O3,4998.47
Whitman,O3,6736.51
Yakima C,O3,5652.34
Barbour,O3,6610.46
Berkeley,O3,9260.83
Boone Co,O3,8785.83
Braxton,O3,7956.7
Brooke C,O3,10596.98
Cabell C,O3,9200.44
Calhoun,O3,8199.1
Clay Cou,O3,8970.52
Doddridg,O3,7384.68
Fayette,O3,9090.08
Gilmer C,O3,7299.61
Grant Co,O3,6588.08
Greenbri,O3,9416.43
Hampshir,O3,7789.58
Hancock,O3,10610.0
Hardy Co,O3,7619.93
Harrison,O3,6467.56
Jackson,O3,9417.04
Jefferso,O3,9737.81
Kanawha,O3,10796.6
Lewis Co,O3,7187.17
Lincoln,O3,8289.78
Logan Co,O3,7426.04
McDowell,O3,7472.03
Marion C,O3,6740.86
Marshall,O3,8663.83
Mason Co,O3,9076.16
Mercer C,O3,8430.22
Mineral,O3,6626.17
Mingo Co,O3,6541.38
Monongal,O3,8462.97
Monroe C,O3,9021.23
Morgan C,O3,7937.64
Nicholas,O3,8678.06
Ohio Cou,O3,10410.42
Pendleto,O3,6722.45
Pleasant,O3,8716.17
Pocahont,O3,7793.36
Preston,O3,6238.66
Putnam C,O3,9710.79
Raleigh,O3,8568.17
Randolph,O3,6671.54
Ritchie,O3,8350.0
Roane Co,O3,9157.04
Summers,O3,9046.7
Taylor C,O3,5240.73
Tucker C,O3,7016.66
Tyler Co,O3,7485.42
Upshur C,O3,6753.45
Wayne Co,O3,7053.86
Webster,O3,8132.91
Wetzel C,O3,7029.02
Wirt Cou,O3,9189.17
Wood Cou,O3,10138.55
Wyoming,O3,7808.78
Adams Co,O3,7931.63
Ashland,O3,5136.09
Barron C,O3,6222.3
Bayfield,O3,4938.15
Brown Co,O3,10218.64
Buffalo,O3,5364.76
Burnett,O3,6666.38
Calumet,O3,11184.15
Chippewa,O3,5786.74
Clark Co,O3,6153.34
Columbia,O3,9941.39
Crawford,O3,5958.13
Dane Cou,O3,12494.74
Dodge Co,O3,7822.05
Door Cou,O3,8784.29
Douglas,O3,5936.48
Dunn Cou,O3,6369.73
Eau Clai,O3,5555.65
Florence,O3,9606.35
Fond du,O3,10060.81
Forest C,O3,8301.7
Grant Co,O3,5872.61
Green Co,O3,13202.87
Green La,O3,8218.67
Iowa Cou,O3,8027.77
Iron Cou,O3,5394.44
Jackson,O3,6338.61
Jefferso,O3,12150.37
Juneau C,O3,7837.97
Kenosha,O3,8238.47
Kewaunee,O3,10140.23
La Cross,O3,5956.21
Lafayett,O3,7654.53
Langlade,O3,8394.82
Lincoln,O3,7980.5
Manitowo,O3,10810.0
Marathon,O3,9089.14
Marinett,O3,7588.87
Marquett,O3,8084.36
Milwauke,O3,13393.98
Monroe C,O3,7556.66
Oconto C,O3,8403.39
Oneida C,O3,9798.15
Outagami,O3,9366.66
Ozaukee,O3,10962.11
Pepin Co,O3,5964.09
Pierce C,O3,7245.14
Polk Cou,O3,7529.78
Portage,O3,9047.82
Price Co,O3,6445.85
Racine C,O3,11260.59
Richland,O3,7779.23
Rock Cou,O3,12207.97
Rusk Cou,O3,5745.28
St. Croi,O3,8531.76
Sauk Cou,O3,8385.88
Sawyer C,O3,5530.4
Shawano,O3,8361.74
Sheboyga,O3,11058.71
Taylor C,O3,5984.41
Trempeal,O3,5296.76
Vernon C,O3,6920.61
Vilas Co,O3,8134.86
Walworth,O3,11404.33
Washburn,O3,5881.11
Washingt,O3,10665.89
Waukesha,O3,11112.53
Waupaca,O3,8391.08
Waushara,O3,8204.53
Winnebag,O3,8860.85
Wood Cou,O3,7609.28
Albany C,O3,2000.5
Big Horn,O3,3394.88
Campbell,O3,8722.28
Carbon C,O3,2050.1
Converse,O3,3283.08
Crook Co,O3,7681.15
Fremont,O3,2279.83
Goshen C,O3,2259.49
Hot Spri,O3,2155.39
Johnson,O3,3924.34
Laramie,O3,2132.73
Lincoln,O3,3574.21
Natrona,O3,2682.67
Park Cou,O3,3115.16
Platte C,O3,2334.66
Sheridan,O3,3641.9
Sweetwat,O3,1703.31
Teton Co,CO,3754.236317
Uinta Co,O3,3467.05
Washakie,O3,2819.26
Weston C,O3,5283.84
