County,Highest Pollutant,Highest Pollutant Value
Peach Co,O3,5322.61
Pickens,O3,6246.96
Pierce C,O3,4569.46
Pike Cou,O3,5026.25
Polk Cou,O3,2156.99
Pulaski,O3,4254.53
Putnam C,O3,5392.27
Quitman,O3,1403.06
Rabun Co,O3,6336.64
Randolph,O3,2082.55
Richmond,O3,5734.75
Rockdale,O3,5533.42
Schley C,O3,4938.31
Screven,O3,5076.12
Seminole,O3,2172.67
Spalding,O3,5371.2
Stephens,O3,5921.93
Stewart,O3,2408.07
Sumter C,O3,5271.33
Talbot C,O3,5099.82
Tattnall,O3,4399.76
Taylor C,O3,5052.54
Telfair,O3,4424.71
Terrell,O3,3176.01
Thomas C,O3,4088.2
Tift Cou,O3,4104.62
Toombs C,O3,4285.27
Towns Co,O3,6115.25
Treutlen,O3,4252.47
Troup Co,O3,1215.7
Turner C,O3,4428.8
Twiggs C,O3,5231.43
Union Co,O3,6059.39
Upson Co,O3,5059.81
Walker C,O3,2316.94
Walton C,O3,5668.82
Ware Cou,O3,4457.21
Warren C,O3,4536.83
Washingt,O3,4281.95
Wayne Co,O3,4716.71
Wheeler,O3,4458.03
White Co,O3,5647.27
Whitfiel,O3,5638.81
Wilcox C,O3,4564.59
Wilkes C,O3,5202.31
Wilkinso,O3,4576.53
Worth Co,O3,4236.74
Honolulu,O3,2339.22
Kauai Co,O3,335.72
Maui Cou,O3,798.59
Ada Coun,O3,4902.3
Adams Co,O3,4177.81
Bannock,O3,3893.31
Bear Lak,O3,4536.7
Benewah,O3,5499.74
Bingham,O3,3309.18
Blaine C,O3,3054.0
Boise Co,O3,3947.85
Bonner C,O3,4241.02
Bonnevil,O3,2993.41
Boundary,O3,2975.56
Canyon C,O3,4599.04
Cassia C,O3,3160.41
Clearwat,O3,3250.25
Custer C,O3,3083.94
Elmore C,O3,3862.9
Fremont,O3,2801.93
Gem Coun,O3,3835.27
Gooding,O3,2931.32
Idaho Co,O3,3549.43
Jefferso,O3,2827.84
Jerome C,O3,3030.71
Kootenai,O3,6026.18
Latah Co,O3,5070.37
Lemhi Co,O3,3121.33
Lewis Co,O3,3794.27
Minidoka,O3,3265.77
Nez Perc,O3,4060.05
Owyhee C,O3,2515.87
Payette,O3,3944.3
Power Co,O3,3619.98
Shoshone,O3,4144.19
Twin Fal,O3,2669.73
Valley C,O3,3635.11
Washingt,O3,3321.01
Adams Co,O3,3044.41
Alexande,O3,4193.56
Bond Cou,O3,2928.82
Boone Co,O3,4445.9
Brown Co,O3,2783.88
Bureau C,O3,3568.3
Calhoun,O3,4280.42
Carroll,O3,5776.56
Cass Cou,O3,2582.4
Champaig,O3,3078.63
Christia,O3,3105.71
Clark Co,O3,5046.77
Clay Cou,O3,5312.41
Clinton,O3,2834.88
Coles Co,O3,3974.81
Cook Cou,O3,4698.65
Crawford,O3,8988.43
Cumberla,O3,4727.21
DeKalb C,O3,2724.49
De Witt,O3,3118.5
Douglas,O3,3476.93
DuPage C,O3,3218.47
Edgar Co,O3,4246.06
Edwards,O3,9630.8
Effingha,O3,4718.69
Fayette,O3,3631.57
Ford Cou,O3,3249.26
Franklin,O3,3928.72
Fulton C,O3,2873.01
Gallatin,O3,5182.56
Greene C,O3,3543.48
Grundy C,O3,2865.53
Hamilton,O3,5042.91
Hancock,O3,3265.06
Hardin C,O3,5096.27
Henderso,O3,3615.33
Henry Co,O3,4937.07
Iroquois,O3,2788.72
Jackson,O3,3686.17
Jasper C,O3,6170.43
Jefferso,O3,3829.46
Jersey C,O3,5274.94
Jo Davie,O3,6407.72
Johnson,O3,4626.28
Kane Cou,O3,2944.57
Kankakee,O3,3307.2
Kendall,O3,2317.75
Knox Cou,O3,3910.54
Lake Cou,O3,3244.47
La Salle,O3,2617.23
Lawrence,O3,20834.36
Lee Coun,O3,3555.62
Livingst,O3,3081.61
Logan Co,O3,3043.3
McDonoug,O3,3264.09
McHenry,O3,4790.92
McLean C,O3,3143.8
Macon Co,O3,3098.23
Macoupin,O3,3161.63
Madison,O3,3537.91
Marion C,O3,3825.39
Marshall,O3,3223.61
Mason Co,O3,2950.43
Massac C,O3,4976.62
Menard C,O3,2661.21
