County,Highest Parts Per Million Value,Highest Parts Per Million
Spartanb,19.33,PM10
Sumter C,11.57,PM2.5
Union Co,13.12,PM10
Williams,12.73,PM10
York Cou,19.03,PM10
Aurora C,6.89,PM2.5
Beadle C,7.87,PM10
Bon Homm,7.53,PM2.5
Brooking,21.83,PM10
Brown Co,13.36,PM10
Brule Co,6.68,PM2.5
Butte Co,5.28,PM2.5
Charles,6.91,PM2.5
Clark Co,9.76,PM10
Clay Cou,10.71,PM10
Codingto,15.27,PM10
Custer C,7.33,PM10
Davison,7.21,PM10
Day Coun,9.2,PM10
Deuel Co,13.82,PM10
Douglas,7.07,PM2.5
Fall Riv,5.29,PM2.5
Grant Co,11.29,PM10
Gregory,6.65,PM2.5
Hamlin C,14.68,PM10
Hughes C,6.26,PM2.5
Hutchins,8.11,PM10
Kingsbur,10.42,PM10
Lake Cou,13.27,PM10
Lawrence,5.97,PM10
Lincoln,14.37,PM10
McCook C,10.52,PM10
Meade Co,5.23,PM2.5
Minnehah,17.77,PM10
Moody Co,16.76,PM10
Penningt,6.92,PM10
Potter C,6.14,PM2.5
Roberts,8.88,PM10
Shannon,5.19,PM2.5
Spink Co,9.49,PM10
Tripp Co,6.32,PM2.5
Turner C,11.15,PM10
Union Co,13.39,PM10
Walworth,6.03,PM2.5
Yankton,8.96,PM10
Anderson,17.69,PM10
Bedford,12.38,PM2.5
Benton C,11.84,PM2.5
Bledsoe,13.94,PM10
Blount C,15.97,PM10
Bradley,20.47,PM10
Campbell,16.98,PM10
Cannon C,12.44,PM2.5
Carroll,11.27,PM2.5
Carter C,12.53,PM2.5
Cheatham,16.28,PM10
Chester,11.65,PM2.5
Claiborn,18.28,PM10
Clay Cou,12.51,PM2.5
Cocke Co,14.37,PM10
Coffee C,12.68,PM2.5
Crockett,11.59,PM2.5
Cumberla,13.21,PM10
Davidson,22.1,PM10
Decatur,11.73,PM2.5
DeKalb C,12.66,PM2.5
Dickson,12.89,PM10
Dyer Cou,12.14,PM2.5
Fayette,11.62,PM2.5
Fentress,12.8,PM2.5
Franklin,12.68,PM2.5
Gibson C,11.24,PM2.5
Giles Co,12.11,PM2.5
Grainger,15.15,PM10
Greene C,14.05,PM10
Grundy C,12.92,PM2.5
Hamblen,14.43,PM10
Hamilton,18.09,PM10
Hancock,14.86,PM10
Hardeman,11.68,PM2.5
Hardin C,11.61,PM2.5
Hawkins,13.73,PM10
Haywood,11.56,PM2.5
Henderso,11.49,PM2.5
Henry Co,11.47,PM2.5
Hickman,12.11,PM2.5
Houston,11.7,PM2.5
Humphrey,11.63,PM2.5
Jackson,12.62,PM2.5
Jefferso,14.93,PM10
Johnson,12.52,PM2.5
Knox Cou,22.12,PM10
Lake Cou,11.72,PM2.5
Lauderda,11.63,PM2.5
Lawrence,11.92,PM2.5
Lewis Co,12.05,PM2.5
Lincoln,12.39,PM2.5
Loudon C,16.65,PM10
McMinn C,21.3,PM10
McNairy,11.7,PM2.5
Macon Co,12.39,PM2.5
Madison,15.9,PM10
Marion C,13.8,PM10
Marshall,12.27,PM2.5
Maury Co,12.64,PM2.5
Meigs Co,20.62,PM10
Monroe C,14.77,PM10
Montgome,16.63,PM10
Moore Co,12.47,PM2.5
Morgan C,14.41,PM10
Obion Co,11.63,PM2.5
Overton,12.46,PM2.5
Perry Co,11.89,PM2.5
Pickett,12.7,PM2.5
Polk Cou,16.2,PM10
Putnam C,13.35,PM2.5
Rhea Cou,17.13,PM10
Roane Co,17.74,PM10
Robertso,14.77,PM10
Rutherfo,12.35,PM2.5
Scott Co,13.59,PM10
Sequatch,13.95,PM10
Sevier C,15.29,PM10
Shelby C,19.93,PM10
Smith Co,12.54,PM2.5
Stewart,11.64,PM2.5
Sullivan,13.09,PM2.5
Sumner C,12.6,PM2.5
Tipton C,12.43,PM10
Trousdal,12.55,PM2.5
Unicoi C,12.47,PM2.5
Union Co,23.12,PM10
Van Bure,12.57,PM2.5
Warren C,12.72,PM2.5
Washingt,12.61,PM2.5
Wayne Co,11.73,PM2.5
Weakley,11.23,PM2.5
White Co,12.4,PM2.5
Williams,15.3,PM10
Wilson C,12.48,PM2.5
Anderson,9.85,PM2.5
Andrews,5.66,PM2.5
Angelina,9.75,PM2.5
Aransas,9.75,PM10
Archer C,7.44,PM2.5
Atascosa,9.99,PM10
Austin C,9.05,PM2.5
Bandera,7.47,PM2.5
Bastrop,10.22,PM10
Baylor C,7.01,PM2.5
Bee Coun,10.48,PM10
Bell Cou,8.48,PM2.5
Bexar Co,19.2,PM10
Blanco C,9.36,PM10
Bosque C,8.76,PM2.5
Bowie Co,11.18,PM2.5
Brazoria,9.97,PM10
Brazos C,9.09,PM2.5
Brewster,5.11,PM2.5
Brown Co,7.1,PM2.5
Burleson,8.76,PM2.5
Burnet C,7.76,PM2.5
Caldwell,11.75,PM10
Calhoun,8.02,PM2.5
Callahan,7.06,PM2.5
Cameron,18.54,PM10
Carson C,6.28,PM2.5
Cass Cou,10.89,PM2.5
Castro C,6.16,PM2.5
Chambers,9.76,PM2.5
Cherokee,10.23,PM2.5
Childres,6.87,PM2.5
Clay Cou,8.04,PM2.5
Coke Cou,6.78,PM2.5
Coleman,6.87,PM2.5
Collin C,12.47,PM10
Colorado,8.77,PM2.5
Comal Co,16.02,PM10
Comanche,7.69,PM2.5
Concho C,6.73,PM2.5
Cooke Co,9.29,PM2.5
Coryell,8.28,PM2.5
Crosby C,6.51,PM2.5
Dallam C,5.41,PM10
Dallas C,26.5,PM10
Dawson C,6.44,PM2.5
Deaf Smi,5.99,PM2.5
Denton C,12.59,PM10
DeWitt C,8.7,PM10
Dimmit C,7.04,PM2.5
Donley C,6.41,PM2.5
Duval Co,9.27,PM10
Eastland,7.42,PM2.5
Ector Co,6.04,PM2.5
Ellis Co,14.25,PM10
El Paso,27.75,PM10
Erath Co,8.05,PM2.5
Falls Co,9.13,PM2.5
Fannin C,9.84,PM2.5
Fayette,8.65,PM2.5
Fisher C,6.79,PM2.5
Floyd Co,6.42,PM2.5
Fort Ben,10.55,PM10
Freeston,9.59,PM2.5
Frio Cou,7.48,PM10
Gaines C,6.46,PM10
Galvesto,20.33,PM10
Garza Co,6.66,PM2.5
Gillespi,7.2,PM2.5
Goliad C,9.27,PM10
Gonzales,9.66,PM10
Gray Cou,6.11,PM2.5
Grayson,9.39,PM2.5
Gregg Co,10.74,PM2.5
Grimes C,9.19,PM2.5
Guadalup,13.9,PM10
Hale Cou,6.31,PM2.5
Hall Cou,6.64,PM2.5
Hamilton,8.04,PM2.5
Hardin C,9.57,PM2.5
Harris C,24.67,PM10
Harrison,11.02,PM2.5
Haskell,7.07,PM2.5
Hays Cou,13.41,PM10
Henderso,10.0,PM2.5
Hidalgo,17.2,PM10
Hill Cou,9.51,PM2.5
Hockley,6.26,PM10
Hood Cou,8.83,PM2.5
Houston,9.87,PM2.5
Howard C,6.59,PM2.5
Hunt Cou,10.09,PM2.5
Hutchins,6.2,PM2.5
Jack Cou,8.13,PM2.5
Jackson,8.41,PM2.5
Jasper C,9.87,PM2.5
Jefferso,9.94,PM2.5
Jim Well,10.62,PM10
Johnson,13.75,PM10
Jones Co,6.9,PM2.5
Karnes C,9.89,PM10
Kaufman,10.87,PM2.5
Kendall,9.46,PM10
Kerr Cou,7.22,PM2.5
Kimble C,6.91,PM2.5
Kleberg,12.05,PM10
Knox Cou,6.86,PM2.5
Lamar Co,9.93,PM2.5
Lamb Cou,6.01,PM2.5
Lampasas,7.71,PM2.5
Lavaca C,8.49,PM2.5
Lee Coun,8.56,PM2.5
Leon Cou,9.27,PM2.5
Liberty,9.76,PM2.5
Limeston,9.56,PM2.5
Live Oak,9.73,PM10
Llano Co,7.09,PM2.5
Lubbock,11.24,PM10
Lynn Cou,6.58,PM2.5
McCulloc,7.04,PM2.5
McLennan,9.61,PM2.5
Madison,9.6,PM2.5
Marion C,10.8,PM2.5
Matagord,8.55,PM2.5
Medina C,7.74,PM10
Midland,6.14,PM2.5
Milam Co,8.97,PM2.5
Mitchell,6.84,PM2.5
Montague,8.68,PM2.5
Montgome,10.55,PM10
Moore Co,6.08,PM2.5
Nacogdoc,10.03,PM2.5
Navarro,9.9,PM2.5
Newton C,9.98,PM2.5
Nolan Co,6.97,PM2.5
Nueces C,17.04,PM10
Orange C,10.89,PM2.5
Palo Pin,7.99,PM2.5
Panola C,10.75,PM2.5
Parker C,9.87,PM10
Pecos Co,5.54,PM2.5
Polk Cou,9.45,PM2.5
Potter C,6.21,PM2.5
Randall,6.23,PM2.5
Real Cou,7.08,PM2.5
Red Rive,10.51,PM2.5
Reeves C,5.32,PM2.5
Refugio,9.97,PM10
Robertso,9.19,PM2.5
Rockwall,12.62,PM10
Runnels,6.93,PM2.5
Rusk Cou,10.42,PM2.5
Sabine C,10.35,PM2.5
San Augu,10.15,PM2.5
San Jaci,9.55,PM2.5
San Patr,16.34,PM10
San Saba,7.14,PM2.5
Scurry C,6.8,PM2.5
Shelby C,10.51,PM2.5
Somervel,8.84,PM2.5
Starr Co,9.38,PM10
Stephens,7.47,PM2.5
Swisher,6.41,PM2.5
Tarrant,18.67,PM10
Taylor C,6.85,PM2.5
Terry Co,5.96,PM2.5
Tom Gree,6.6,PM2.5
Travis C,16.4,PM10
Trinity,9.34,PM2.5
Tyler Co,9.47,PM2.5
Uvalde C,7.21,PM2.5
Val Verd,6.31,PM2.5
Van Zand,9.89,PM2.5
Victoria,8.16,PM2.5
Walker C,9.29,PM2.5
Waller C,9.48,PM10
Ward Cou,5.5,PM2.5
Washingt,8.86,PM2.5
Webb Cou,12.25,PM10
Wharton,8.75,PM2.5
Wheeler,6.18,PM2.5
Wichita,7.29,PM2.5
Wilbarge,7.25,PM2.5
Willacy,12.89,PM10
Williams,9.73,PM10
Wilson C,12.28,PM10
Winkler,5.46,PM2.5
Wise Cou,9.08,PM10
Yoakum C,6.57,PM10
Young Co,7.43,PM2.5
Zapata C,8.79,PM10
Box Elde,7.56,PM10
Cache Co,21.01,PM10
Carbon C,6.4,PM2.5
Davis Co,22.68,PM10
Duchesne,6.65,PM2.5
Grand Co,8.37,PM10
Iron Cou,5.34,PM2.5
Juab Cou,5.76,PM2.5
Kane Cou,5.81,PM2.5
Millard,5.43,PM2.5
Salt Lak,29.0,PM10
Sanpete,6.16,PM2.5
Sevier C,5.67,PM2.5
Summit C,8.26,PM10
Tooele C,6.21,PM2.5
Uintah C,6.64,PM2.5
Utah Cou,13.4,PM10
Wasatch,8.56,PM10
Washingt,5.41,PM2.5
Weber Co,24.87,PM10
Addison,12.37,PM10
Benningt,12.18,PM10
Caledoni,8.0,PM10
Chittend,13.22,PM10
Essex Co,7.7,PM10
Franklin,7.13,PM10
Grand Is,8.37,PM10
Lamoille,7.87,PM10
Orange C,10.27,PM10
Orleans,7.2,PM2.5
Rutland,15.16,PM10
Washingt,10.85,PM10
Windham,15.31,PM10
Windsor,11.9,PM10
Accomack,9.7,PM2.5
Albemarl,17.74,PM10
Alleghan,13.6,PM10
Amelia C,11.51,PM10
Amherst,12.09,PM10
Appomatt,11.55,PM10
Arlingto,22.39,PM10
Augusta,13.88,PM10
Bath Cou,12.15,PM10
Bland Co,12.25,PM2.5
Botetour,15.96,PM10
Brunswic,11.28,PM2.5
Buchanan,12.56,PM2.5
Buckingh,12.16,PM10
Campbell,11.84,PM10
Caroline,14.19,PM10
Carroll,15.58,PM10
Charles,13.22,PM10
Charlott,11.65,PM2.5
Chesterf,13.92,PM10
Clarke C,18.95,PM10
Craig Co,17.02,PM10
Culpeper,16.75,PM10
Cumberla,11.77,PM10
Dickenso,12.9,PM2.5
Dinwiddi,11.54,PM2.5
Essex Co,13.12,PM10
Fairfax,18.97,PM10
Fauquier,16.62,PM10
Floyd Co,15.36,PM10
Fluvanna,14.29,PM10
Franklin,17.31,PM10
Frederic,17.04,PM10
Giles Co,13.06,PM10
Gloucest,13.43,PM10
Goochlan,12.76,PM10
Grayson,12.96,PM10
Greene C,17.33,PM10
Greensvi,11.22,PM2.5
Halifax,12.09,PM10
Hanover,14.69,PM10
Henrico,16.04,PM10
Henry Co,14.34,PM10
Isle of,12.75,PM10
James Ci,13.89,PM10
King and,14.41,PM10
King Geo,13.84,PM10
King Wil,14.06,PM10
Lancaste,13.34,PM10
Lee Coun,15.07,PM10
Loudoun,16.32,PM10
Louisa C,13.57,PM10
Lunenbur,11.65,PM2.5
Madison,16.15,PM10
Mathews,12.29,PM10
Mecklenb,11.81,PM10
Middlese,13.88,PM10
Montgome,15.7,PM10
Nelson C,13.05,PM10
New Kent,14.3,PM10
Northamp,9.97,PM2.5
Northumb,12.9,PM10
Nottoway,11.5,PM2.5
Orange C,15.31,PM10
Page Cou,16.14,PM10
Patrick,15.01,PM10
Pittsylv,12.81,PM10
Powhatan,12.14,PM10
Prince E,11.54,PM2.5
Prince G,12.1,PM10
Prince W,17.53,PM10
Pulaski,13.44,PM10
Rappahan,16.22,PM10
Richmond,12.73,PM10
Roanoke,24.89,PM10
Rockbrid,12.53,PM10
Rockingh,18.35,PM10
Russell,12.66,PM2.5
Scott Co,12.69,PM2.5
Shenando,14.69,PM10
Smyth Co,12.36,PM2.5
Southamp,10.96,PM2.5
Spotsylv,14.99,PM10
Stafford,16.78,PM10
Surry Co,12.33,PM10
Sussex C,11.24,PM2.5
Tazewell,12.51,PM2.5
Warren C,17.46,PM10
Washingt,12.89,PM2.5
Westmore,12.61,PM10
Wise Cou,12.84,PM2.5
Wythe Co,13.08,PM10
York Cou,13.57,PM10
Alexandr,21.88,PM10
Bristol,14.39,PM2.5
Buena Vi,12.66,PM10
Charlott,19.17,PM10
Chesapea,14.75,PM10
Colonial,12.89,PM10
Covingto,13.69,PM10
Danville,12.76,PM10
Emporia,11.21,PM2.5
Fairfax,18.73,PM10
Falls Ch,20.69,PM10
Franklin,11.23,PM10
Frederic,17.17,PM10
Galax ci,16.35,PM10
Hampton,15.63,PM10
Harrison,19.77,PM10
Hopewell,13.1,PM10
Lexingto,12.64,PM10
Lynchbur,12.68,PM2.5
Manassas,17.86,PM10
Martinsv,14.29,PM10
Newport,14.32,PM10
Norfolk,17.15,PM10
Norton c,12.75,PM2.5
Petersbu,12.19,PM10
Poquoson,14.42,PM10
Portsmou,17.76,PM10
Radford,14.13,PM10
Richmond,17.24,PM10
Roanoke,26.27,PM10
Salem ci,25.4,PM10
Staunton,14.48,PM10
Suffolk,12.53,PM10
Virginia,11.72,PM10
Waynesbo,15.18,PM10
Williams,13.62,PM10
Winchest,18.63,PM10
Adams Co,11.07,PM10
Asotin C,16.08,PM10
Benton C,17.82,PM10
Chelan C,8.27,PM10
Clallam,5.82,PM2.5
Clark Co,12.74,PM10
Columbia,14.79,PM10
Cowlitz,13.07,PM10
Douglas,8.42,PM10
Ferry Co,8.95,PM10
Franklin,16.23,PM10
Grant Co,10.17,PM10
Grays Ha,6.63,PM2.5
Island C,9.43,PM10
Jefferso,6.5,PM2.5
King Cou,10.24,PM10
Kitsap C,12.89,PM10
Kittitas,13.52,PM10
Klickita,9.32,PM10
Lewis Co,10.83,PM10
Lincoln,9.76,PM10
Mason Co,8.32,PM10
Okanogan,6.8,PM2.5
Pacific,6.68,PM2.5
Pend Ore,12.12,PM10
Pierce C,12.31,PM10
San Juan,6.32,PM2.5
Skagit C,6.94,PM10
Skamania,8.64,PM10
Snohomis,8.1,PM10
Spokane,22.18,PM10
Stevens,21.08,PM10
Thurston,13.19,PM10
Wahkiaku,8.1,PM10
Walla Wa,21.01,PM10
Whatcom,6.12,PM2.5
Whitman,13.11,PM10
Yakima C,14.23,PM10
Barbour,9.91,PM2.5
Berkeley,20.69,PM10
Boone Co,14.13,PM10
Braxton,12.15,PM2.5
Brooke C,25.19,PM10
Cabell C,17.17,PM10
Calhoun,12.41,PM2.5
Clay Cou,12.67,PM2.5
Doddridg,11.61,PM2.5
Fayette,12.35,PM2.5
Gilmer C,11.65,PM2.5
Grant Co,10.89,PM2.5
Greenbri,12.26,PM2.5
Hampshir,13.21,PM10
Hancock,25.15,PM10
Hardy Co,12.59,PM10
Harrison,12.91,PM2.5
Jackson,14.68,PM10
Jefferso,19.36,PM10
Kanawha,17.25,PM10
Lewis Co,11.62,PM2.5
Lincoln,15.12,PM10
Logan Co,12.81,PM2.5
McDowell,12.41,PM2.5
Marion C,12.79,PM10
Marshall,18.51,PM10
Mason Co,15.52,PM10
Mercer C,12.17,PM2.5
Mineral,11.93,PM10
Mingo Co,13.15,PM10
Monongal,17.35,PM10
Monroe C,13.18,PM10
Morgan C,16.15,PM10
Nicholas,12.37,PM2.5
Ohio Cou,20.26,PM10
Pendleto,11.86,PM2.5
Pleasant,14.43,PM10
Pocahont,11.89,PM2.5
Preston,10.79,PM2.5
Putnam C,17.35,PM10
Raleigh,12.82,PM2.5
Randolph,11.65,PM2.5
Ritchie,11.93,PM10
Roane Co,12.82,PM2.5
Summers,12.03,PM2.5
Taylor C,11.2,PM2.5
Tucker C,10.36,PM2.5
Tyler Co,12.65,PM10
Upshur C,11.07,PM2.5
Wayne Co,16.09,PM10
Webster,12.13,PM2.5
Wetzel C,14.51,PM10
Wirt Cou,13.81,PM10
Wood Cou,18.63,PM10
Wyoming,12.4,PM2.5
Adams Co,8.7,PM2.5
Ashland,7.08,PM10
Barron C,6.91,PM10
Bayfield,7.36,PM10
Brown Co,12.72,PM10
Buffalo,8.17,PM2.5
Burnett,7.31,PM10
Calumet,9.48,PM10
Chippewa,7.67,PM10
Clark Co,8.41,PM2.5
Columbia,9.95,PM10
Crawford,9.97,PM2.5
Dane Cou,13.22,PM10
Dodge Co,10.56,PM10
Door Cou,7.39,PM2.5
Douglas,10.78,PM10
Dunn Cou,7.65,PM10
Eau Clai,8.15,PM10
Florence,6.18,PM2.5
Fond du,9.32,PM2.5
Forest C,7.47,PM10
Grant Co,10.46,PM2.5
Green Co,10.85,PM10
Green La,9.23,PM10
Iowa Cou,10.08,PM2.5
Iron Cou,6.49,PM10
Jackson,8.94,PM2.5
Jefferso,12.15,PM10
Juneau C,8.62,PM2.5
Kenosha,14.04,PM10
Kewaunee,8.16,PM2.5
La Cross,9.57,PM2.5
Lafayett,10.51,PM2.5
Langlade,7.81,PM10
Lincoln,7.72,PM10
Manitowo,9.07,PM10
Marathon,9.32,PM10
Marinett,6.77,PM2.5
Marquett,9.24,PM10
Milwauke,22.91,PM10
Monroe C,9.48,PM2.5
Oconto C,7.49,PM2.5
Oneida C,7.53,PM10
Outagami,9.04,PM10
Ozaukee,12.43,PM10
Pepin Co,7.89,PM10
Pierce C,9.1,PM10
Polk Cou,7.64,PM10
Portage,8.75,PM10
Price Co,7.24,PM2.5
Racine C,16.51,PM10
Richland,9.9,PM2.5
Rock Cou,11.55,PM10
Rusk Cou,6.7,PM2.5
St. Croi,9.15,PM10
Sauk Cou,9.35,PM2.5
Sawyer C,6.57,PM10
Shawano,8.17,PM10
Sheboyga,10.21,PM10
Taylor C,7.94,PM2.5
Trempeal,8.19,PM2.5
Vernon C,9.53,PM2.5
Vilas Co,7.81,PM10
Walworth,12.01,PM10
Washburn,7.17,PM10
Washingt,12.65,PM10
Waukesha,18.75,PM10
Waupaca,10.29,PM10
Waushara,9.69,PM10
Winnebag,9.37,PM2.5
Wood Cou,8.25,PM10
Albany C,11.9,PM10
Big Horn,7.27,PM10
Campbell,16.89,PM10
Carbon C,9.71,PM10
Converse,8.34,PM10
Crook Co,5.26,PM2.5
Fremont,9.42,PM10
Goshen C,7.31,PM10
Hot Spri,7.12,PM10
Johnson,6.31,PM10
Laramie,10.1,PM10
Lincoln,6.83,PM2.5
Natrona,5.91,PM2.5
Park Cou,8.77,PM10
Platte C,13.29,PM10
Sheridan,22.8,PM10
Sweetwat,11.26,PM10
Teton Co,10.4,PM10
Uinta Co,8.35,PM10
Washakie,7.21,PM10
Weston C,5.24,PM2.5
