County,Highest Parts Per Million Value,Highest Parts Per Million
Jones Co,16.73,PM10
Lamar Co,16.67,PM10
Lanier C,11.37,PM2.5
Laurens,12.51,PM2.5
Lee Coun,15.58,PM10
Liberty,13.13,PM10
Lincoln,12.58,PM2.5
Long Cou,11.68,PM10
Lowndes,12.25,PM2.5
Lumpkin,12.95,PM2.5
McDuffie,12.65,PM10
McIntosh,14.79,PM10
Macon Co,14.16,PM10
Madison,12.85,PM2.5
Marion C,14.78,PM10
Meriweth,15.71,PM10
Miller C,12.64,PM10
Mitchell,12.73,PM10
Monroe C,16.42,PM10
Montgome,12.12,PM2.5
Morgan C,13.02,PM2.5
Murray C,14.47,PM10
Muscogee,19.51,PM10
Newton C,14.63,PM10
Oconee C,13.67,PM2.5
Oglethor,12.8,PM2.5
Paulding,17.16,PM10
Peach Co,16.17,PM10
Pickens,13.15,PM2.5
Pierce C,11.32,PM10
Pike Cou,17.0,PM10
Polk Cou,16.08,PM10
Pulaski,12.94,PM10
Putnam C,13.76,PM10
Quitman,14.5,PM10
Rabun Co,12.19,PM2.5
Randolph,13.96,PM10
Richmond,16.25,PM10
Rockdale,15.31,PM10
Schley C,13.97,PM10
Screven,11.71,PM2.5
Seminole,12.44,PM10
Spalding,20.17,PM10
Stephens,12.23,PM2.5
Stewart,15.31,PM10
Sumter C,14.1,PM10
Talbot C,15.25,PM10
Tattnall,11.76,PM2.5
Taylor C,14.14,PM10
Telfair,12.12,PM2.5
Terrell,14.46,PM10
Thomas C,11.12,PM2.5
Tift Cou,11.85,PM10
Toombs C,11.96,PM2.5
Towns Co,12.63,PM2.5
Treutlen,12.34,PM2.5
Troup Co,14.86,PM10
Turner C,12.29,PM10
Twiggs C,16.68,PM10
Union Co,12.66,PM2.5
Upson Co,15.58,PM10
Walker C,15.75,PM10
Walton C,13.3,PM2.5
Ware Cou,11.39,PM10
Warren C,12.58,PM2.5
Washingt,19.72,PM10
Wayne Co,11.99,PM10
Wheeler,12.19,PM2.5
White Co,12.52,PM2.5
Whitfiel,15.61,PM10
Wilcox C,11.77,PM2.5
Wilkes C,12.76,PM2.5
Wilkinso,15.19,PM10
Worth Co,13.94,PM10
Honolulu,13.88,PM10
Kauai Co,7.47,PM10
Maui Cou,14.38,PM10
Ada Coun,17.9,PM10
Adams Co,8.64,PM10
Bannock,17.25,PM10
Bear Lak,9.72,PM10
Benewah,20.08,PM10
Bingham,19.5,PM10
Blaine C,8.31,PM10
Boise Co,10.13,PM10
Bonner C,15.89,PM10
Bonnevil,11.86,PM10
Boundary,11.33,PM10
Canyon C,17.96,PM10
Cassia C,9.84,PM10
Clearwat,10.51,PM10
Custer C,7.76,PM10
Elmore C,8.94,PM10
Fremont,10.39,PM10
Gem Coun,12.41,PM10
Gooding,8.4,PM10
Idaho Co,9.32,PM10
Jefferso,10.49,PM10
Jerome C,11.59,PM10
Kootenai,18.38,PM10
Latah Co,15.82,PM10
Lemhi Co,14.05,PM10
Lewis Co,12.82,PM10
Minidoka,11.42,PM10
Nez Perc,14.9,PM10
Owyhee C,7.59,PM10
Payette,11.64,PM10
Power Co,12.58,PM10
Shoshone,13.33,PM10
Twin Fal,9.54,PM10
Valley C,8.17,PM10
Washingt,8.88,PM10
Adams Co,11.03,PM10
Alexande,10.19,PM2.5
Bond Cou,11.76,PM10
Boone Co,11.17,PM2.5
Brown Co,10.4,PM10
Bureau C,14.55,PM10
Calhoun,11.68,PM10
Carroll,13.58,PM10
Cass Cou,10.65,PM10
Champaig,12.49,PM2.5
Christia,11.08,PM10
Clark Co,11.84,PM2.5
Clay Cou,11.82,PM2.5
Clinton,10.44,PM2.5
Coles Co,12.12,PM2.5
Cook Cou,29.9,PM10
