County,Highest EQI Values,Highest EQI
Chattaho,0.189811,Air_EQI
Chattoog,0.541562,Air_EQI
Cherokee,2.107732,Sociod_EQI
Clarke C,1.419576,Built_EQI
Clay Cou,-0.5228374,Air_EQI
Clayton,1.276145,Air_EQI
Clinch C,-0.4174394,Built_EQI
Cobb Cou,1.964858,Sociod_EQI
Coffee C,1.253919,Water_EQI
Colquitt,1.20535,Water_EQI
Columbia,2.080696,Sociod_EQI
Cook Cou,1.242666,Water_EQI
Coweta C,1.376154,Sociod_EQI
Crawford,0.0038382,Sociod_EQI
Crisp Co,1.216949,Water_EQI
Dade Cou,0.507157,Air_EQI
Dawson C,1.181092,Sociod_EQI
Decatur,0.3987797,Built_EQI
DeKalb C,1.556724,Air_EQI
Dodge Co,-0.3847255,Water_EQI
Dooly Co,0.8451795,Water_EQI
Doughert,1.346807,Built_EQI
Douglas,1.235533,Sociod_EQI
Early Co,0.0591007,Built_EQI
Effingha,1.15212,Sociod_EQI
Elbert C,0.3850875,Air_EQI
Emanuel,0.7678291,Water_EQI
Evans Co,-0.2606241,Air_EQI
Fannin C,0.8308935,Built_EQI
Fayette,3.108457,Sociod_EQI
Floyd Co,1.043418,Air_EQI
Forsyth,2.7342,Sociod_EQI
Franklin,0.7901613,Built_EQI
Fulton C,1.725955,Air_EQI
Gilmer C,0.0622274,Air_EQI
Glynn Co,1.476796,Built_EQI
Gordon C,1.077708,Air_EQI
Grady Co,0.0153211,Air_EQI
Greene C,1.213778,Water_EQI
Gwinnett,2.053262,Sociod_EQI
Habersha,0.9073465,Water_EQI
Hall Cou,1.25308,Water_EQI
Hancock,0.8145995,Water_EQI
Haralson,0.386498,Air_EQI
Harris C,1.345868,Sociod_EQI
Hart Cou,0.5105243,Air_EQI
Heard Co,-0.0940909,Air_EQI
Henry Co,2.072897,Sociod_EQI
Houston,0.7602441,Air_EQI
Irwin Co,-0.4433957,Air_EQI
Jackson,0.7871457,Water_EQI
Jasper C,0.0492576,Air_EQI
Jeff Dav,-0.387511,Water_EQI
Jefferso,-0.2303917,Air_EQI
Jenkins,0.8780059,Water_EQI
Johnson,-0.5500293,Air_EQI
Jones Co,0.7469096,Sociod_EQI
Lamar Co,0.4347613,Air_EQI
Lanier C,-0.2905875,Air_EQI
Laurens,0.6898077,Built_EQI
Lee Coun,1.377622,Sociod_EQI
Liberty,0.7360098,Water_EQI
Lincoln,-0.0899544,Air_EQI
Long Cou,0.7421231,Water_EQI
Lowndes,0.9755313,Water_EQI
Lumpkin,0.4370246,Sociod_EQI
McDuffie,0.5033655,Built_EQI
McIntosh,0.8238252,Water_EQI
Macon Co,-0.1634539,Built_EQI
Madison,0.290779,Sociod_EQI
Marion C,-0.2313163,Air_EQI
Meriweth,0.1381589,Air_EQI
Miller C,-0.3501818,Water_EQI
Mitchell,-0.1199503,Air_EQI
Monroe C,0.8226598,Sociod_EQI
Montgome,-0.4732766,Sociod_EQI
Morgan C,0.8360445,Water_EQI
Murray C,0.6445138,Air_EQI
Muscogee,1.444291,Air_EQI
Newton C,1.029782,Air_EQI
Oconee C,1.900916,Sociod_EQI
Oglethor,0.2978419,Sociod_EQI
Paulding,1.705144,Sociod_EQI
Peach Co,0.6740406,Built_EQI
Pickens,0.6790296,Sociod_EQI
Pierce C,-0.2927488,Water_EQI
Pike Cou,0.8158157,Sociod_EQI
Polk Cou,0.6716605,Air_EQI
Pulaski,-0.198033,Sociod_EQI
Putnam C,0.8109097,Water_EQI
Quitman,-0.3880591,Water_EQI
Rabun Co,0.8359128,Built_EQI
Randolph,-0.451807,Air_EQI
Richmond,1.547402,Air_EQI
Rockdale,1.398094,Sociod_EQI
Schley C,-0.2294706,Air_EQI
Screven,0.7559151,Water_EQI
Seminole,0.4494672,Built_EQI
Spalding,0.9769463,Air_EQI
Stephens,0.5953275,Air_EQI
Stewart,-0.3415873,Water_EQI
Sumter C,0.3541518,Air_EQI
Talbot C,-0.2314755,Water_EQI
Tattnall,0.7706184,Water_EQI
Taylor C,-0.3397005,Air_EQI
Telfair,-0.3066029,Water_EQI
Terrell,-0.0742733,Air_EQI
Thomas C,0.5448595,Built_EQI
Tift Cou,1.053432,Built_EQI
Toombs C,0.9418449,Built_EQI
Towns Co,0.7563357,Built_EQI
Treutlen,-0.561852,Air_EQI
Troup Co,0.9775736,Built_EQI
Turner C,-0.2593277,Air_EQI
Twiggs C,0.0761432,Air_EQI
Union Co,-0.0587944,Built_EQI
Upson Co,0.4125621,Air_EQI
Walker C,1.078012,Air_EQI
Walton C,0.7796132,Sociod_EQI
Ware Cou,1.143115,Built_EQI
Warren C,-0.0628454,Built_EQI
Washingt,0.1295044,Built_EQI
Wayne Co,0.4088305,Built_EQI
Wheeler,-0.3460724,Water_EQI
White Co,0.8186097,Water_EQI
Whitfiel,1.240013,Air_EQI
Wilcox C,-0.5498992,Air_EQI
Wilkes C,0.896916,Built_EQI
Wilkinso,0.7367623,Water_EQI
Worth Co,-0.1683088,Air_EQI
Honolulu,0.9672366,Sociod_EQI
Kauai Co,1.086967,Built_EQI
Maui Cou,1.035665,Built_EQI
Ada Coun,1.311962,Air_EQI
Adams Co,0.7207673,Land_EQI
Bannock,1.222908,Built_EQI
Bear Lak,0.1995514,Sociod_EQI
Benewah,0.2569296,Land_EQI
Bingham,0.624989,Land_EQI
Blaine C,2.552453,Built_EQI
Boise Co,0.9705953,Water_EQI
Bonner C,0.9481024,Water_EQI
Bonnevil,1.2763,Air_EQI
Boundary,1.008113,Water_EQI
Canyon C,1.298633,Air_EQI
Cassia C,0.6010072,Land_EQI
Clearwat,0.632366,Built_EQI
Custer C,1.230264,Land_EQI
Elmore C,1.479348,Land_EQI
Fremont,0.6782931,Land_EQI
Gem Coun,1.25658,Land_EQI
Gooding,0.8573436,Land_EQI
Idaho Co,0.9754006,Water_EQI
Jefferso,0.8515986,Land_EQI
Jerome C,0.5461748,Land_EQI
Kootenai,1.229658,Air_EQI
Latah Co,0.8973559,Built_EQI
Lemhi Co,1.166105,Land_EQI
Lewis Co,0.5833317,Land_EQI
Minidoka,1.018028,Water_EQI
Nez Perc,1.139107,Built_EQI
Owyhee C,1.054475,Water_EQI
Payette,1.111231,Land_EQI
Power Co,1.044784,Water_EQI
Shoshone,0.9353876,Water_EQI
Twin Fal,1.110122,Built_EQI
Valley C,1.839145,Built_EQI
Washingt,1.33906,Land_EQI
Adams Co,1.17876,Air_EQI
Alexande,0.754281,Water_EQI
Bond Cou,0.1529032,Air_EQI
Boone Co,1.449387,Sociod_EQI
Brown Co,-0.1234794,Sociod_EQI
Bureau C,1.214126,Water_EQI
Calhoun,0.5682942,Land_EQI
Carroll,1.207043,Water_EQI
Cass Cou,1.189845,Water_EQI
Champaig,1.177945,Water_EQI
Christia,1.17684,Water_EQI
Clark Co,0.7885324,Water_EQI
Clay Cou,0.0769219,Water_EQI
Clinton,0.8153829,Sociod_EQI
Coles Co,1.049667,Built_EQI
Cook Cou,2.057472,Air_EQI
Crawford,0.6378397,Water_EQI
Cumberla,0.2995712,Sociod_EQI
DeKalb C,1.280199,Water_EQI
De Witt,1.226469,Water_EQI
Douglas,0.7826019,Sociod_EQI
DuPage C,2.728637,Sociod_EQI
Edgar Co,0.7643285,Water_EQI
Edwards,0.2123321,Sociod_EQI
Effingha,1.211538,Built_EQI
Fayette,0.7320211,Water_EQI
Ford Cou,1.183217,Water_EQI
Franklin,0.6575839,Air_EQI
Fulton C,0.8560622,Water_EQI
Gallatin,0.2970507,Land_EQI
Greene C,0.7935816,Water_EQI
Grundy C,1.556963,Land_EQI
Hamilton,0.0599769,Land_EQI
Hancock,1.159739,Water_EQI
Hardin C,1.072727,Water_EQI
Henderso,1.113343,Water_EQI
Henry Co,1.111096,Water_EQI
Iroquois,1.218315,Water_EQI
Jackson,0.8439944,Built_EQI
Jasper C,0.5066154,Sociod_EQI
Jefferso,0.8566315,Built_EQI
Jersey C,0.6975077,Land_EQI
Jo Davie,1.221222,Built_EQI
Johnson,0.1434673,Air_EQI
Kane Cou,1.845879,Sociod_EQI
Kankakee,1.302867,Land_EQI
Kendall,2.547778,Sociod_EQI
Knox Cou,1.188292,Water_EQI
Lake Cou,2.274773,Sociod_EQI
La Salle,1.3533,Land_EQI
Lawrence,0.9627193,Water_EQI
Lee Coun,1.022785,Water_EQI
Livingst,1.219424,Water_EQI
Logan Co,1.16935,Water_EQI
McDonoug,1.149968,Water_EQI
McHenry,2.450779,Sociod_EQI
McLean C,1.24961,Water_EQI
Macon Co,1.270779,Air_EQI
Macoupin,1.161919,Water_EQI
Madison,1.526488,Air_EQI
Marion C,0.7788578,Water_EQI
Marshall,1.126228,Water_EQI
Mason Co,0.7834803,Water_EQI
Massac C,1.079576,Water_EQI
Menard C,1.220089,Sociod_EQI
Mercer C,1.214205,Water_EQI
Monroe C,1.751854,Sociod_EQI
Montgome,0.7742212,Water_EQI
Morgan C,0.8691795,Built_EQI
Moultrie,1.168099,Water_EQI
Ogle Cou,1.220263,Sociod_EQI
Peoria C,1.340847,Air_EQI
Perry Co,0.3578932,Air_EQI
Piatt Co,1.417081,Sociod_EQI
Pike Cou,1.18996,Water_EQI
Pope Cou,0.237084,Air_EQI
Pulaski,1.002735,Water_EQI
Putnam C,1.219066,Water_EQI
Randolph,1.1733,Water_EQI
Richland,0.3903277,Air_EQI
Rock Isl,1.665572,Air_EQI
St. Clai,1.495782,Air_EQI
Saline C,0.6776881,Built_EQI
Sangamon,1.266941,Built_EQI
Schuyler,1.108197,Water_EQI
Scott Co,0.7981847,Water_EQI
Shelby C,1.112579,Water_EQI
Stark Co,1.128324,Water_EQI
Stephens,1.234317,Water_EQI
Tazewell,1.22898,Water_EQI
Union Co,1.101158,Water_EQI
Vermilio,1.188955,Water_EQI
Wabash C,1.164762,Water_EQI
Warren C,0.8288512,Water_EQI
Washingt,0.6590555,Sociod_EQI
Wayne Co,1.102058,Water_EQI
White Co,0.249228,Land_EQI
Whitesid,0.9537371,Air_EQI
Will Cou,2.361627,Sociod_EQI
Williams,0.7763597,Air_EQI
Winnebag,1.307243,Air_EQI
Woodford,1.688248,Sociod_EQI
Adams Co,1.270257,Land_EQI
Allen Co,1.364461,Air_EQI
Bartholo,1.004999,Sociod_EQI
Benton C,1.265666,Sociod_EQI
Blackfor,0.8721446,Water_EQI
Boone Co,1.780802,Sociod_EQI
Brown Co,0.8464442,Water_EQI
Carroll,0.950794,Sociod_EQI
Cass Cou,1.052266,Land_EQI
Clark Co,1.578907,Air_EQI
Clay Cou,0.5885611,Sociod_EQI
Clinton,0.8650025,Land_EQI
Crawford,0.1541413,Land_EQI
Daviess,0.6242192,Air_EQI
Dearborn,1.606627,Sociod_EQI
Decatur,0.9143038,Water_EQI
De Kalb,1.244826,Sociod_EQI
Delaware,0.9331886,Air_EQI
Dubois C,1.181449,Sociod_EQI
Elkhart,1.418002,Air_EQI
Fayette,0.7019169,Air_EQI
Floyd Co,1.690371,Air_EQI
Fountain,0.8377067,Land_EQI
Franklin,0.8797774,Sociod_EQI
Fulton C,0.9779919,Land_EQI
Gibson C,1.266065,Land_EQI
Grant Co,1.047768,Land_EQI
Greene C,0.8759261,Water_EQI
Hamilton,3.079823,Sociod_EQI
Hancock,2.048153,Sociod_EQI
Harrison,1.153737,Sociod_EQI
Hendrick,2.094086,Sociod_EQI
Henry Co,0.9098759,Water_EQI
Howard C,1.00272,Air_EQI
Huntingt,1.160912,Sociod_EQI
Jackson,0.8622117,Water_EQI
Jasper C,1.354356,Land_EQI
Jay Coun,1.057657,Land_EQI
Jefferso,0.8356379,Water_EQI
Jennings,0.5202212,Air_EQI
Johnson,1.649009,Sociod_EQI
Knox Cou,0.8768789,Built_EQI
Kosciusk,1.013386,Land_EQI
Lagrange,0.994074,Water_EQI
Lake Cou,1.682382,Land_EQI
La Porte,1.306151,Land_EQI
Lawrence,0.8506893,Water_EQI
Madison,1.157026,Land_EQI
